date,value
2011-01-01,89.47045698924767
2011-02-01,105.68413690476171
2011-03-01,79.72608870967737
2011-04-01,73.41641666666688
2011-05-01,58.4910349462366
2011-06-01,60.061555555555856
2011-07-01,55.51376344086034
2011-08-01,88.97865591397888
2011-09-01,92.50980555555518
2011-10-01,72.86572580645144
2011-11-01,70.5380277777777
2011-12-01,55.75549731182801
2012-01-01,53.61026881720401
2012-02-01,78.49636494252874
2012-03-01,119.104784946237
2012-04-01,56.99422222222233
2012-05-01,46.859059139784925
2012-06-01,87.35418055555576
2012-07-01,79.17779569892478
2012-08-01,140.26236559139795
2012-09-01,183.3773750000007
2012-10-01,198.00423387096765
2012-11-01,166.99827777777728
2012-12-01,180.3399865591401
2013-01-01,184.4556854838702
2013-02-01,181.1765476190477
2013-03-01,137.5386290322579
2013-04-01,229.82384722222224
2013-05-01,139.81483870967773
2013-06-01,143.10200000000017
2013-07-01,232.14004032258097
2013-08-01,150.55004032258063
2013-09-01,144.20498611111105
2013-10-01,211.9382930107527
2013-11-01,210.38594444444422
2013-12-01,166.79578869047577
2014-01-01,160.47514784946173
2014-02-01,187.9649851190472
2014-03-01,151.3037500000001
2014-04-01,373.74641666666616
2014-05-01,381.97971774193553
2014-06-01,334.8712916666666
2014-07-01,184.66931451612916
2014-08-01,200.16775537634376
2014-09-01,177.31913888888926
2014-10-01,207.02637096774188
2014-11-01,166.5686249999998
2014-12-01,175.05454301075315
2016-01-01,554.1583333333332
2016-02-01,646.000287356321
2016-03-01,830.0193682795732
2016-04-01,332.4924444444431
2016-05-01,140.31020161290365
2016-06-01,167.97176388888934
2016-07-01,129.2154301075268
2016-08-01,198.01237903225754
2016-09-01,150.5911944444446
2016-10-01,184.90819892473135
2016-11-01,166.5332083333331
2016-12-01,107.43885752688152
2017-01-01,111.50552419354877
2017-02-01,156.99538690476126
2017-03-01,119.85936827957
2017-04-01,96.47724999999978
2017-05-01,71.6501881720432
2017-06-01,68.50041666666657
2017-07-01,70.60352150537649
2017-08-01,92.57232526881701
2017-09-01,124.32220833333304
2017-10-01,137.36525537634358
2017-11-01,126.71223611111087
2017-12-01,101.34611559139806
2018-01-01,124.47725806451619
2018-02-01,140.03684523809474
2018-03-01,172.1329838709677
2018-04-01,115.66798611111109
2018-05-01,75.11798387096798
2018-06-01,73.93362500000006
2018-07-01,79.88927419354839
2018-08-01,95.03084677419355
2018-09-01,101.43230555555526
2018-10-01,121.86034946236515
2018-11-01,104.11937500000028
2018-12-01,191.33689516129004
2019-01-01,285.4236827956979
2019-02-01,303.47017857142913
2019-03-01,262.8578897849469
2019-04-01,189.7930277777775
2019-05-01,172.12681451612906
2019-06-01,113.28400000000023
2019-07-01,122.33087365591282
2019-08-01,147.2582661290325
2019-09-01,284.7565555555567
2019-10-01,321.28740591397764
2019-11-01,232.89365277777773
2019-12-01,308.50892473118455
2020-01-01,323.05469086021407
2020-02-01,430.5174712643688
2020-03-01,339.49159946236466
2020-04-01,252.15969444444337
2020-05-01,360.983830645162
2020-06-01,306.5829444444447
2020-07-01,156.87837365591372
2020-08-01,158.96676075268775
2020-09-01,150.94013888888878
2020-10-01,198.31229838709532
2020-11-01,179.98218055555535
2020-12-01,163.23012096774252
2021-01-01,181.475604838709
2021-02-01,270.12638392857156
2021-03-01,165.89689516128985
2021-04-01,162.5360000000006
